trial,M1,M2,HungarianD,HungarianPD,M3,M4,M4*
0,61.83076640514591,28.24357239834138,1.0,16.848853797930076,23.46567058075279,11.473862020561866,1.0
1,12.615351900938746,2.3987781447923475,15.622821744044828,5.450521467185692,5.035726821032309,4.220368242525494,4.220368242525494
2,36.55679694249897,1.0,1.0629610820477249,2.0,1.0,1.0,1.9227895006487838
3,11.068963786636624,6.581643148186609,3.504260400402909,10.590712310022617,9.590712310022617,6.581643148186609,8.31271562592957
4,59.06594618700718,7.797244314962344,1.9046168527846714,8.640484644688918,7.640484644688919,9.461478571282841,1.9814719055208458
5,1.92725780982321,3.3644739379539947,8.629953387075203,7.746416841970867,6.449242574787112,3.81321282645431,3.981728597258188
6,7.541650748132655,1.0573189432710821,7.572900311989135,10.739020353757045,9.739020353757045,1.0573189432710821,1.5323249074580483
7,17.75763052676529,1.673507345767679,4.956668695148105,10.269580177498726,9.568195367963428,1.673507345767679,1.6629226224884968
8,3.5701805938711937,1.3881527441666484,4.499066453296051,4.277491160607337,3.2774911606073363,1.3881527441666484,1.3881527441666484
9,3.002841865798069,2.1602285296789736,10.140170973518776,6.14759452647444,4.986626222582657,4.380129193212908,2.057845408293466
10,25.50198568230837,1.001848710286333,7.530936396322164,3.9638257574137987,2.963825757413799,1.001848710286333,1.001848710286333
11,13.791317857525218,1.0016064732133136,7.25635357934721,7.1643052315757085,6.1643052315757085,1.0016064732133136,1.0016064732133136
12,13.845627068703491,1.360648800797797,6.115171687395659,4.276024576916383,3.2760245769163823,1.360648800797797,1.9240542771882614
13,14.618897112762006,3.114519376076195,8.692665844535322,10.609683824622028,9.609683824622026,2.2151093612678063,4.269970002958958
14,3.8070462563321463,2.282738121994139,9.929377748773094,10.460218577664877,9.460218577664877,6.289759708057659,6.798465099400175
15,8.43061493212732,3.6834273228746284,5.194999541428666,6.911831907319027,5.911831907319027,3.6834273228746284,2.3262816558992316
16,52.002206754259255,6.180710744233281,8.247929770041061,22.75181071155998,21.751810711559983,8.420790488376745,1.9375167948013194
17,24.48102881529794,1.2647299520049202,5.662807600015619,6.0703075175197725,5.0703075175197725,1.532398591627227,1.5424812218578314
18,5.291838840360998,3.6958192333685496,8.80128197433409,12.000035125342768,11.00003512534277,5.064857382124291,6.095014252913909
19,20.797465533150277,3.320245415045776,7.688137238496546,7.907098790681342,6.907098790681343,4.887540535679524,5.054149787630081
20,25.484068342481766,7.240354038152601,2.997578470483065,6.842970894420142,5.842970894420142,6.8575420226886115,6.928123488422777
21,16.634575669570395,2.9253410357205216,14.5400643910947,12.369748190086566,10.939612748146915,5.172507621185196,4.555602513682292
22,26.89058708130591,1.5602677159553595,5.761861984850695,7.333111717814993,2.8298401164230014,1.5602677159553595,3.750014491059471
23,36.678309519472734,3.585307939790579,9.998765047196612,11.283094578705528,10.283094578705528,6.023751501253112,4.919095941431642
24,4.526105290354159,1.792300231713229,5.088062958369369,5.2390035769360015,6.882808716257969,3.2586771410784054,3.411993671725239
25,17.467530401461794,1.0,1.3181537462015722,2.0,1.0,1.0,1.1856523112946031
26,1.2223145755090208,7.276488516793825,2.04445957234558,3.0444595723455805,2.04445957234558,7.251079596595936,5.350169567845961
27,59.19089306964123,1.1566598796223464,1.578763002818403,2.5787630028184028,1.578763002818403,2.2726335550873307,1.1566598796223464
28,68.02854581156821,1.0,3.9731508509206677,2.0,1.0,1.0,1.0
29,17.806145656229152,2.490533015631083,4.311573757329898,4.169983246600871,3.169983246600871,1.9806524847526517,1.9806524847526517
30,24.230086884210877,1.0835010143384138,5.656056583512164,3.2041511494313597,2.2041511494313597,1.0835010143384138,1.0835010143384138
31,39.33214900298642,3.243563937216969,5.7668040065668285,6.39426446455115,5.17010173606321,3.704776689459922,2.9491904680176484
32,5.4371841093697455,1.628190792498684,2.6226190009031964,7.19752946523904,7.685898183078491,1.628190792498684,1.5066610414121087
33,3.588039998626576,2.0978633624263283,3.8777937885514917,4.877793788551491,3.8777937885514917,2.8926844836781167,2.8400254089661865
34,29.821031099061397,3.538119720534505,10.948402214497246,13.552448746377609,12.552448746377607,4.514572608039098,4.554273482740338
35,1.41439295283719,1.4910617222008706,9.762446515214664,5.1235346170705816,4.03206259763258,3.2015810071676847,5.083896838411198
36,9.18182613054252,1.7325029993331866,9.225945117889204,8.861231964095143,10.602914274899295,4.361444274651631,3.93149996971721
37,1.151395174821,1.2988142419607474,7.216139682157687,5.378422670176726,4.227027495355726,1.2988142419607474,4.0753010909039125
38,18.669577187789905,3.0721799211554672,6.60654910801375,19.56828041109507,18.239268844498636,5.018163552669147,5.5885421458446105
