model,mean_fcr,median_fcr,std,ci95,n
M1,18.4611,14.3396,16.6632,1.0328,1000
M2,2.8361,1.9547,2.6320,0.1631,1000
HungarianD,6.8831,6.8255,3.5185,0.2181,1000
HungarianPD,7.3156,6.1419,4.7530,0.2946,1000
M3,6.2820,5.1125,4.7520,0.2945,1000
M4,3.1165,2.3175,2.2311,0.1383,1000
M4*,3.0926,2.4088,2.0002,0.1240,1000
