variant,model,mean_fcr,median_fcr,delta_pct
Euclidean,M4 (p/d),3.063335099318276,2.0637863543338666,0.0
Euclidean,M4* (p/d^2),2.892499176717038,2.0613687792758286,5.576795128918698
Manhattan,M4 (p/d),3.184385265657242,2.301994980742953,0.0
Manhattan,M4* (p/d^2),3.17137090533591,2.5030897097199047,0.4086930203354606
Heterogeneous,M4 (p/d),3.0568308166216656,2.0898345635917384,0.0
Heterogeneous,M4* (p/d^2),2.9133820793583545,2.1088850892841133,4.692727398693497
Obstacle,M4 (p/d),3.053094949024171,2.0403929630836437,0.0
Obstacle,M4* (p/d^2),2.9032516887764146,2.10211942943997,4.907913535268507
